Date,Product,Region,Quantity,Unit_Price,Sales
2026-01-05,Laptop,North,5,60000,300000
2026-01-10,Mouse,South,20,800,16000
2026-01-15,Keyboard,East,15,1500,22500
2026-01-20,Monitor,West,8,12000,96000
2026-02-03,Laptop,North,6,60000,360000
2026-02-08,Keyboard,East,18,1500,27000
2026-02-14,Mouse,South,25,800,20000
2026-02-25,Monitor,West,10,12000,120000
2026-03-02,Laptop,North,7,60000,420000
2026-03-11,Mouse,South,22,800,17600
2026-03-18,Keyboard,East,20,1500,30000
2026-03-27,Monitor,West,12,12000,144000
2026-04-04,Laptop,North,8,60000,480000
2026-04-12,Keyboard,East,24,1500,36000
2026-04-20,Mouse,South,28,800,22400
2026-04-28,Monitor,West,14,12000,168000
2026-05-06,Laptop,North,9,60000,540000
2026-05-15,Mouse,South,26,800,20800
2026-05-22,Keyboard,East,22,1500,33000
2026-05-30,Monitor,West,16,12000,192000
